Profesor	Id. Asignatura	Horas	Resp	Asignatura
Anonimizado 1	116	60	1	Fundamentos Físicos de la Informática
Anonimizado 1	41	20		Robótica y Domótica
Anonimizado 1				
Anonimizado 1				
Anonimizado 1				
Anonimizado 1				
Anonimizado 1				
Anonimizado 1				
Anonimizado 1				
Anonimizado 1				
Anonimizado 1				
Anonimizado 1				
Anonimizado 2	71	60	1	Algoritmos Avanzados
Anonimizado 2	169	0	1	Algoritmos Avanzados
Anonimizado 2				
Anonimizado 2				
Anonimizado 2				
Anonimizado 2				
Anonimizado 2				
Anonimizado 2				
Anonimizado 2				
Anonimizado 2				
Anonimizado 2				
Anonimizado 2				
Anonimizado 3	131	24	1	Inteligencia Artificial
Anonimizado 3	98	24		Ingeniería del Conocimiento
Anonimizado 3	63	24	1	Inteligencia Artificial
Anonimizado 3	37	24		Sistemas Inteligentes
Anonimizado 3	161	0	1	Inteligencia Artificial
Anonimizado 3				
Anonimizado 3				
Anonimizado 3				
Anonimizado 3				
Anonimizado 3				
Anonimizado 3				
Anonimizado 3				
Anonimizado 4	7	30	1	Optimización y Análisis de Redes
Anonimizado 4	100	30		Investigación Operativa
Anonimizado 4	295	30	1	Métodos Estadísticos de Gestión e Investigación
Anonimizado 4				
Anonimizado 4				
Anonimizado 4				
Anonimizado 4				
Anonimizado 4				
Anonimizado 4				
Anonimizado 4				
Anonimizado 4				
Anonimizado 4				
Anonimizado 5	88	45		Diseño y Análisis de Algoritmos
Anonimizado 5	201	20		Algoritmos para Juegos
Anonimizado 5	272	25		Diseño y Análisis de Algoritmos
Anonimizado 5				
Anonimizado 5				
Anonimizado 5				
Anonimizado 5				
Anonimizado 5				
Anonimizado 5				
Anonimizado 5				
Anonimizado 5				
Anonimizado 5				
Anonimizado 6	301	15	1	Antecedentes y Desarrollo de la Inteligencia Artificial (HUM)
Anonimizado 6	5	25	1	Minería de Datos
Anonimizado 6	235	45	1	Estadística
Anonimizado 6	313	5		Trabajo Fin de Grado
Anonimizado 6				
Anonimizado 6				
Anonimizado 6				
Anonimizado 6				
Anonimizado 6				
Anonimizado 6				
Anonimizado 6				
Anonimizado 6				
Anonimizado 7	75	45	1	Visión Artificial
Anonimizado 7	186	30		Estructuras de Datos
Anonimizado 7	172	0	1	Visión Artificial
Anonimizado 7				
Anonimizado 7				
Anonimizado 7				
Anonimizado 7				
Anonimizado 7				
Anonimizado 7				
Anonimizado 7				
Anonimizado 7				
Anonimizado 7				
Anonimizado 8	131	30		Inteligencia Artificial
Anonimizado 8	98	20		Ingeniería del Conocimiento
Anonimizado 8	63	20		Inteligencia Artificial
Anonimizado 8	37	20	1	Sistemas Inteligentes
Anonimizado 8	161	0		Inteligencia Artificial
Anonimizado 8				
Anonimizado 8				
Anonimizado 8				
Anonimizado 8				
Anonimizado 8				
Anonimizado 8				
Anonimizado 8				
Anonimizado 9	6	60	1	Modelos Estadísticos para la Predicción
Anonimizado 9	306	60	1	Probabilidad y Estadística
Anonimizado 9	313	8		Trabajo Fin de Grado
Anonimizado 9				
Anonimizado 9				
Anonimizado 9				
Anonimizado 9				
Anonimizado 9				
Anonimizado 9				
Anonimizado 9				
Anonimizado 9				
Anonimizado 9				
Anonimizado 10				
Anonimizado 10				
Anonimizado 10				
Anonimizado 10				
Anonimizado 10				
Anonimizado 10				
Anonimizado 10				
Anonimizado 10				
Anonimizado 10				
Anonimizado 10				
Anonimizado 10				
Anonimizado 10				
Anonimizado 11	187	20		Física para Videojuegos
Anonimizado 11	202	30		Animación 3D
Anonimizado 11				
Anonimizado 11				
Anonimizado 11				
Anonimizado 11				
Anonimizado 11				
Anonimizado 11				
Anonimizado 11				
Anonimizado 11				
Anonimizado 11				
Anonimizado 11				
Anonimizado 12	33	60	1	Diseño de Sistemas Empotrados
Anonimizado 12	69	60	1	Sistemas Empotrados y de Tiempo Real
Anonimizado 12	137	60	1	Sistemas Empotrados y de Tiempo Real
Anonimizado 12	167	0		Sistemas Empotrados y de Tiempo Real
Anonimizado 12	165	0		Seguridad Informática
Anonimizado 12				
Anonimizado 12				
Anonimizado 12				
Anonimizado 12				
Anonimizado 12				
Anonimizado 12				
Anonimizado 12				
Anonimizado 13	117	60	1	Introducción a la Programación (Grupo 1)
Anonimizado 13	45	30		Estructuras de Datos (Grupo 2)
Anonimizado 13	153	0		Ingeniería del Software
Anonimizado 13				
Anonimizado 13				
Anonimizado 13				
Anonimizado 13				
Anonimizado 13				
Anonimizado 13				
Anonimizado 13				
Anonimizado 13				
Anonimizado 13				
Anonimizado 14	66	30	1	Programación Declarativa
Anonimizado 14	134	30	1	Programación Declarativa
Anonimizado 14	128	36		Teoría de Autómatas y Lenguajes Formales
Anonimizado 14	164	0		Programación Declarativa
Anonimizado 14	158	0		Teoría de Autómatas y Lenguajes Formales
Anonimizado 14				
Anonimizado 14				
Anonimizado 14				
Anonimizado 14				
Anonimizado 14				
Anonimizado 14				
Anonimizado 14				
Anonimizado 15	186	60	1	Estructuras de Datos
